Date,Open,High,Low,Close,Volume,Currency,H-L,O-C,SMA_7,SMA_14,SMA_21,SD_7,SD_21
2016-05-26,12700.0,12900.0,12100.0,12700.0,11510,VND,800.0,0.0,12985.714285714286,13157.142857142857,14138.095238095239,211.57009420494052,1798.7429473040847
2016-05-27,12500.0,12900.0,12500.0,12500.0,6100,VND,400.0,0.0,12857.142857142857,13100.0,13952.380952380952,190.23794624221995,1754.3144095683194
2016-05-30,12600.0,12600.0,12500.0,12600.0,47100,VND,100.0,0.0,12800.0,13050.0,13661.904761904761,199.99999999995262,1397.6681260142493
2016-05-31,12600.0,12700.0,12200.0,12600.0,50900,VND,500.0,0.0,12742.857142857143,13042.857142857143,13419.047619047618,190.2379462422173,1064.245764670473
2016-06-01,12600.0,12600.0,12500.0,12600.0,2300,VND,100.0,0.0,12685.714285714286,12957.142857142857,13209.52380952381,157.35915849382553,692.029451616586
2016-06-02,12600.0,12600.0,12000.0,12500.0,25700,VND,600.0,100.0,12628.57142857143,12878.57142857143,13057.142857142857,138.01311186839743,411.79051539759723
2016-06-03,12100.0,12500.0,12000.0,12300.0,27300,VND,500.0,-200.0,12542.857142857143,12800.0,12990.47619047619,127.24180205598849,415.81818371104436
2016-06-06,12100.0,12100.0,11800.0,12000.0,41900,VND,300.0,100.0,12442.857142857143,12714.285714285714,12919.047619047618,222.53945610562607,451.24167318526474
2016-06-07,12400.0,12400.0,11800.0,11800.0,6100,VND,600.0,600.0,12342.857142857143,12600.0,12847.619047619048,325.8688021128345,503.6060440652365
2016-06-08,11800.0,12000.0,11700.0,12000.0,19800,VND,300.0,-200.0,12257.142857142857,12528.57142857143,12785.714285714286,325.8688021128334,524.6767712465489
2016-06-09,11800.0,11900.0,11800.0,11900.0,52300,VND,100.0,-100.0,12157.142857142857,12450.0,12747.619047619048,310.14589500822376,559.1234636634708
2016-06-10,11800.0,11800.0,11700.0,11700.0,15800,VND,100.0,100.0,12028.57142857143,12357.142857142857,12647.619047619048,281.1540841737743,549.1985502703337
2016-06-13,11800.0,11800.0,11100.0,11700.0,8600,VND,700.0,100.0,11914.285714285714,12271.42857142857,12557.142857142857,211.5700942049189,540.8987230262398
2016-06-14,11500.0,11600.0,11000.0,11500.0,15200,VND,600.0,0.0,11800.0,12171.42857142857,12466.666666666666,182.57418583497935,551.6641490375473
2016-06-15,10700.0,11000.0,10600.0,10600.0,17900,VND,400.0,100.0,11600.0,12021.42857142857,12342.857142857143,469.0415759823107,659.9783546234044
2016-06-16,10500.0,11200.0,10500.0,11200.0,8700,VND,700.0,-700.0,11514.285714285714,11928.57142857143,12238.095238095239,481.0702354423313,658.3890874522281
2016-06-17,10500.0,10900.0,10500.0,10900.0,3100,VND,400.0,-400.0,11357.142857142857,11807.142857142857,12138.095238095239,475.59486560563573,695.3245216991685
2016-06-20,10900.0,10900.0,10700.0,10700.0,5700,VND,200.0,200.0,11185.714285714286,11671.42857142857,12028.57142857143,463.42410895622294,732.9003050503143
2016-06-21,11400.0,11400.0,11000.0,11000.0,15400,VND,400.0,400.0,11085.714285714286,11557.142857142857,11933.333333333334,405.9087394499755,730.2967433402121
2016-06-22,11400.0,11400.0,11000.0,11000.0,9600,VND,400.0,400.0,10985.714285714286,11450.0,11842.857142857143,302.3715784073193,722.1990228264052
2016-06-23,11100.0,11100.0,10500.0,10900.0,6700,VND,600.0,200.0,10900.0,11350.0,11747.619047619048,199.99999999990317,707.5443785509382
