Date,Open,High,Low,Close,Volume,Currency,H-L,O-C,SMA_7,SMA_14,SMA_21,SD_7,SD_21
2020-06-29,81333.0,81689.0,79111.0,79111.0,404291,VND,2578.0,2222.0,83428.42857142857,82711.07142857143,83665.61904761905,2599.12227858707,2330.724768740196
2020-06-30,80889.0,80889.0,79111.0,79111.0,394369,VND,1778.0,1778.0,82374.42857142857,82292.0,83318.52380952382,2646.674004427884,2443.187438962627
2020-07-01,80445.0,81333.0,79111.0,80889.0,103567,VND,2222.0,-444.0,81625.28571428571,82165.0,83077.23809523809,2088.8766290589388,2419.7831288105535
2020-07-02,80533.0,80978.0,79556.0,79911.0,473287,VND,1422.0,622.0,81079.28571428571,82044.35714285714,82785.14285714286,1940.358103915009,2413.842875700785
2020-07-03,80800.0,80889.0,79911.0,80178.0,183735,VND,978.0,622.0,80507.85714285714,82120.57142857143,82539.66666666667,1385.3103657750848,2403.8816179948103
2020-07-06,80178.0,81689.0,80178.0,81245.0,319522,VND,1511.0,-1067.0,80254.0,81993.64285714286,82387.28571428571,938.6044605335218,2378.352205684796
2020-07-07,81333.0,81956.0,80889.0,80889.0,378967,VND,1067.0,444.0,80190.57142857143,81936.5,82175.66666666667,865.7070053128314,2299.5475279570474
2020-07-08,80711.0,81333.0,80089.0,80711.0,210881,VND,1244.0,0.0,80419.14285714286,81923.78571428571,81947.09523809524,734.43275811374,2187.258944541373
2020-07-09,80711.0,81600.0,80622.0,80889.0,449674,VND,978.0,-178.0,80673.14285714286,81523.78571428571,81752.38095238095,464.4467779238779,2083.495007821981
2020-07-10,80889.0,81778.0,80889.0,81245.0,217496,VND,889.0,-356.0,80724.0,81174.64285714286,81684.66666666667,509.34369535713205,2075.3752271175945
2020-07-13,81333.0,81422.0,80889.0,81156.0,393536,VND,533.0,177.0,80901.85714285714,80990.57142857143,81663.52380952382,378.77188762788415,2078.5401035113173
2020-07-14,81156.0,81600.0,80178.0,81156.0,383614,VND,1422.0,0.0,81041.57142857143,80774.71428571429,81760.90476190476,210.0744765894335,1999.3703735116858
2020-07-15,81511.0,81511.0,80445.0,80445.0,432270,VND,1066.0,1066.0,80927.28571428571,80590.64285714286,81638.19047619047,285.1530082171339,1997.1811039324493
2020-07-16,80800.0,82667.0,80533.0,82667.0,369056,VND,2134.0,-1867.0,81181.28571428571,80685.92857142857,81684.76190476191,714.3063568446008,2009.7881456701507
2020-07-17,81333.0,81778.0,80889.0,81333.0,241346,VND,889.0,0.0,81270.14285714286,80844.64285714286,81705.90476190476,684.102923194925,2003.3232366436184
2020-07-20,80889.0,81245.0,80178.0,80178.0,250200,VND,1067.0,711.0,81168.57142857143,80920.85714285714,81405.38095238095,794.0686068476635,1700.381824067503
2020-07-21,81067.0,81067.0,80178.0,80178.0,248242,VND,889.0,889.0,81016.14285714286,80870.07142857143,81121.80952380953,875.216054958539,1328.4084695246604
